idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
167,B_mid_truth_600k_1100k,20,77.838,5612.48,136.786,979179,1.0106e+06,1.03209,10000000,25.3841,116.573,3038,336216,3038
168,B_mid_truth_600k_1100k,20,77.838,5724.08,237.214,965097,971047,1.00617,10000000,25.3841,109.585,3018,340514,3018
169,C_bridge_truth_1100k_1200k,20,93.406,35.119,280.868,1.11092e+06,1.12601e+06,1.01359,10000000,20.05,88.0595,3998,599217,3998
170,D_high_truth_gt1200k,20,93.406,146.719,179.499,1.22726e+06,1.27252e+06,1.03687,10000000,20.05,93.6498,3978,583669,3978
171,D_high_truth_gt1200k,20,93.406,267.509,98.8956,1.2261e+06,1.27355e+06,1.03871,10000000,20.05,99.8055,3958,583597,3958
172,D_high_truth_gt1200k,20,93.406,379.109,93.406,1.27027e+06,1.29684e+06,1.02092,10000000,20.05,103.616,3938,583828,3938
173,D_high_truth_gt1200k,20,93.406,499.899,93.406,1.24172e+06,1.29173e+06,1.04028,10000000,20.05,105.924,3918,582269,3918
174,D_high_truth_gt1200k,20,93.406,611.499,93.406,1.27884e+06,1.31228e+06,1.02616,10000000,20.05,107.089,3898,584067,3898
175,D_high_truth_gt1200k,20,93.406,732.289,93.406,1.24577e+06,1.29884e+06,1.0426,10000000,20.05,107.988,3878,582539,3878
176,D_high_truth_gt1200k,20,93.406,843.889,93.406,1.27929e+06,1.3158e+06,1.02854,10000000,20.05,108.456,3858,583641,3858
177,D_high_truth_gt1200k,20,93.406,964.679,93.406,1.24589e+06,1.3005e+06,1.04383,10000000,20.05,108.483,3838,582784,3838
178,D_high_truth_gt1200k,20,93.406,1076.28,93.406,1.28197e+06,1.31662e+06,1.02703,10000000,20.05,108.777,3818,583985,3818
179,D_high_truth_gt1200k,20,93.406,1197.07,93.406,1.24613e+06,1.3009e+06,1.04395,10000000,20.05,108.759,3798,582859,3798
180,D_high_truth_gt1200k,20,93.406,1308.67,93.406,1.28357e+06,1.31682e+06,1.02591,10000000,20.05,108.821,3778,585536,3778
181,D_high_truth_gt1200k,20,93.406,1429.46,93.406,1.24584e+06,1.301e+06,1.04428,10000000,20.05,108.627,3758,582523,3758
182,D_high_truth_gt1200k,20,93.406,1541.06,93.406,1.2808e+06,1.31687e+06,1.02816,10000000,20.05,108.873,3738,583463,3738
183,D_high_truth_gt1200k,20,93.406,1661.85,93.406,1.24674e+06,1.30101e+06,1.04353,10000000,20.05,108.638,3718,583290,3718
